REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.276	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.277	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.290	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.304	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.315	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.320	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.322	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.327	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.348	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.350	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.345	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.365	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.379	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.370	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.387	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.336	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.348	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.348	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.346	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.349	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.375	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.356	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.379	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.369	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.383	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.390	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.386	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.379	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.391	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.403	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.410	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.416	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.411	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.411	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.422	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.415	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.440	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.438	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.446	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.443	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.458	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.464	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.456	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.459	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.462	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.464	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.467	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.464	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.476	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.474	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.473	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.480	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.481	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.486	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.482	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.480	 16000	wb
wavFiles_pad/2.wav	 tempDegrCBR.wav	 -1.000	 4.480	 16000	wb
